Time,X-Acceleration,Y-Acceleration,Z-Acceleration,X-Velocity,Y-Velocity,Z-Velocity,Composite-Acceleration,Composite-Velocity,Temperature Z,Temperature-XYZ
00:00.0,14.7421875,30.1875,14.90625,1.666992188,3.369140625,2.306640625,32.375,4.41015625,25.4375,25.4375
00:00.0,16.8125,28,17.390625,1.571289063,3.494140625,2.107421875,32.0625,4.37109375,26.5,26.5
00:00.0,13.5546875,22.125,14.0703125,1.764648438,2.453125,1.700195313,27.390625,3.46875,27.6875,27.6875
00:00.0,16.34375,21.859375,14.53125,1.694335938,2.66015625,1.819335938,24.84375,3.640625,28.375,28.375
00:00.0,14.1875,29.3125,15.4140625,1.541992188,3.28515625,2.083984375,32.53125,4.18359375,29.4375,29.4375
00:00.0,14.5859375,25.15625,15.15625,1.47265625,2.650390625,1.828125,29.421875,3.5390625,29.8125,29.8125
00:00.0,12.4140625,22.328125,12.9765625,1.732421875,2.20703125,1.614257813,23.140625,3.23828125,30.4375,30.4375
00:00.0,12.375,18.921875,11.9765625,1.791992188,2.271484375,1.68359375,21.328125,3.34765625,29.875,29.875
00:00.0,12.4375,20.71875,15.1796875,1.33984375,2.158203125,1.662109375,22.921875,3.03515625,29.5625,29.5625
00:00.0,17.40625,23.703125,13.7578125,1.616210938,2.560546875,1.759765625,26.109375,3.501953125,29.5625,29.5625
00:00.0,13.4375,26.953125,13.390625,1.604492188,2.689453125,1.874023438,29.625,3.650390625,29.25,29.25
00:00.0,13.6015625,24.015625,12.6015625,1.811523438,2.734375,1.783203125,25.984375,3.732421875,28.75,28.75
00:00.0,14.125,20.640625,11.46875,1.721679688,2.455078125,1.671875,23.328125,3.43359375,27.625,27.625
00:00.0,15.4375,23.4375,14.4609375,1.485351563,2.69921875,1.764648438,25.296875,3.55078125,27.625,27.625
00:00.0,14.1796875,20.984375,12.921875,1.399414063,2.38671875,1.612304688,21.703125,3.203125,27.25,27.25
00:00.0,15.0390625,22.703125,13.8046875,1.669921875,2.68359375,1.927734375,24.671875,3.703125,27.4375,27.4375
00:00.0,16.734375,23.609375,11.90625,1.723632813,2.677734375,1.838867188,24.90625,3.677734375,27.125,27.125
00:00.0,12.578125,22.0625,11.1171875,1.55859375,2.435546875,1.670898438,25.375,3.33984375,27.3125,27.3125
00:00.0,14.625,20.015625,11.2734375,1.499023438,2.4765625,1.77734375,23.796875,3.396484375,27.0625,27.0625
00:00.0,15.7734375,20.359375,12.6328125,1.615234375,2.470703125,2.033203125,22.84375,3.5859375,26.625,26.625
00:00.0,14.5390625,22.703125,9.6640625,2.177734375,2.38671875,2.16015625,24.765625,3.88671875,26.375,26.375
00:00.0,16.140625,21.703125,11.9453125,1.807617188,2.48828125,2.154296875,22.65625,3.755859375,26.3125,26.3125
00:00.0,13.421875,25,11.25,1.45703125,2.482421875,1.801757813,26,3.396484375,26.625,26.625
00:00.0,14.5703125,21.4375,11.5,1.490234375,2.43359375,1.76171875,22.65625,3.353515625,27.5625,27.5625
00:00.0,13.234375,25.46875,12.078125,2.01953125,2.732421875,1.706054688,27.15625,3.802734375,28.3125,28.3125
00:00.0,15.8828125,26.890625,16.078125,1.689453125,2.87109375,1.84375,29.671875,3.806640625,28.9375,28.9375
00:00.0,13.3125,24.015625,14.4765625,1.787109375,2.90625,1.776367188,28.40625,3.84765625,28.875,28.875
00:00.0,14.7734375,25,14.6875,1.676757813,2.673828125,1.772460938,27.84375,3.619140625,29.875,29.875
00:00.0,15.4765625,24.5625,12.515625,1.731445313,2.830078125,2.14453125,29.25,3.951171875,31,31
00:00.0,13.828125,26.03125,16.078125,1.686523438,2.94140625,2.140625,28.390625,4.0078125,31.4375,31.4375
00:00.0,14.8125,26.34375,14.046875,1.6328125,2.888671875,1.918945313,27.640625,3.833984375,31.6875,31.6875
00:00.0,13.03125,19.078125,12.953125,1.874023438,2.193359375,1.87890625,20.140625,3.443359375,31.4375,31.4375
00:00.0,11.359375,17.640625,8.6875,2.84765625,2.916015625,2.77734375,18.671875,4.93359375,30.8125,30.8125
00:00.0,11.96875,12.3203125,6.71484375,1.618164063,1.466796875,1.323242188,13.640625,2.5546875,29.0625,29.0625
00:00.0,11.8125,13.1875,8.0859375,2.8046875,2.669921875,1.946289063,17.171875,4.33203125,27.3125,27.3125
00:00.0,15.7265625,14.5390625,8.984375,1.654296875,1.89453125,1.809570313,17.453125,3.09765625,26.5,26.5
00:00.0,14.265625,15.4609375,9.7421875,3.3828125,2.033203125,5.83984375,15.4765625,7.05078125,24.8125,24.8125
00:00.0,10.6796875,8.3515625,8.6328125,1.422851563,1.296875,1.265625,11.1015625,2.302734375,25.75,25.75
00:00.0,11.234375,13.0078125,9.46875,1.567382813,1.653320313,1.561523438,14.5078125,2.76171875,24.5625,24.5625
00:00.0,15.7109375,14.265625,9.375,3.66015625,2.623046875,4.4375,17.640625,6.3203125,24.0625,24.0625
00:00.0,13.859375,14.5,8.578125,2.572265625,2.841796875,4.4453125,17.328125,5.87109375,23.9375,23.9375
00:00.0,14.1953125,17.484375,14.078125,1.749023438,1.859375,1.91796875,19.359375,3.193359375,24.1875,24.1875
00:00.0,17.78515625,19.203125,11.95703125,1.743652344,1.48046875,1.412597656,21.546875,2.76171875,18.46875,18.46875
00:00.0,19.0625,19.3125,13.5234375,1.893554688,1.775390625,1.61328125,21.984375,3.056640625,23.3125,23.3125
00:00.0,19.21875,20.421875,12.2890625,1.76953125,1.602539063,1.638671875,22.75,2.896484375,23.9375,23.9375
00:00.0,14.828125,23.375,10.7421875,1.663085938,2.046875,1.635742188,24.234375,3.103515625,24.25,24.25
00:00.0,15.4609375,17.75,12.859375,1.958984375,1.706054688,1.713867188,18.953125,3.111328125,25.125,25.125
00:00.0,15,17.3125,10.2890625,1.58984375,1.54296875,1.514648438,20.46875,2.68359375,26,26
00:00.0,15.0390625,16.828125,10.8671875,1.916992188,1.596679688,1.673828125,18.875,3.00390625,26.5,26.5
00:00.0,15.53125,15.4296875,13.5703125,1.587890625,1.369140625,1.46484375,16.296875,2.55859375,27.8125,27.8125
00:00.0,16.578125,16.46875,12.3046875,1.829101563,1.416015625,1.361328125,18.25,2.68359375,29.125,29.125
00:00.0,14.46875,14.8828125,12.140625,1.432617188,1.485351563,1.53125,16.953125,2.568359375,29.4375,29.4375
00:00.0,13.3671875,19.359375,13.828125,1.827148438,1.416015625,1.509765625,19.515625,2.76171875,30.0625,30.0625
00:00.0,13.875,16.984375,11.734375,1.573242188,1.489257813,1.463867188,18.6875,2.615234375,30.3125,30.3125
